,associate,professional,mine,associate ready
data manipulation,131,131,141,True
statistical fundamentals,125,125,0,False
import & cleaning data,130,149,0,False
data management in sql,,134,0,True
ML fundamentals,119,119,0,False
coding for prod,120,140,142,True
