, my_score, to_target
stat_exp_python, 146, 115%
stat_exp_theory, 107, 103%
eda_python, 135, 126%
ds_101_python, 129, 119
data_mgmt_python, 108, 86%
prog_ds_python, 200, 235%
model_dev_python, 123, 104%
ds_102_python, 143, 109
